ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimientoID,tiempoResolucion,JuegoID,nivelEscalamiento
1,Desgaste,2024-06-04,Cerrada,"['877-15-7376', '467-34-2729']",['MNT-13905'],104,7356680,URGENTE
2,Desgaste,2023-10-18,Abierta,"['592-42-6016', '339-07-9203']",['MNT-00687'],-1,7924749,URGENTE
3,Rotura,2024-07-27,Cerrada,"['012-65-0978', '976-02-8152']",['MNT-00376'],-1,5658641,URGENTE
4,Vandalismo,2023-12-25,Cerrada,"['588-11-9551', '532-78-5662', '166-45-6290']",['MNT-02131'],235,9224004,MUY URGENTE
5,Mal funcionamiento,2024-01-14,Cerrada,"['004-60-5880', '563-73-1437']","['MNT-05277', 'MNT-08362']",111,18862,URGENTE
6,Mal funcionamiento,2024-06-16,Cerrada,['243-58-3707'],['MNT-00817'],-1,18785,POCO URGENTE
7,Mal funcionamiento,2023-11-29,Abierta,"['568-97-1438', '060-60-3082']",['MNT-13919'],-1,3577447,URGENTE
8,Desgaste,2024-07-11,Abierta,"['796-05-5365', '885-57-6046']",['MNT-12758'],-1,9288667,URGENTE
9,Mal funcionamiento,2024-03-30,Cerrada,"['845-09-0809', '326-82-2881']",['MNT-01303'],252,19287,URGENTE
10,Rotura,2024-08-14,Cerrada,['593-69-8841'],['MNT-05048'],3,58188,POCO URGENTE
11,Vandalismo,2024-10-10,Cerrada,"['090-00-7405', '071-19-1066', '229-65-4862']","['MNT-07427', 'MNT-14453']",-1,5241056,MUY URGENTE
12,Desgaste,2023-12-17,Cerrada,['176-13-0825'],['MNT-10750'],-1,9288541,POCO URGENTE
13,Mal funcionamiento,2024-07-20,Cerrada,"['766-49-4521', '178-54-7373', '885-67-2471']","['MNT-03278', 'MNT-11201']",60,5240929,MUY URGENTE
14,Desgaste,2024-09-27,Cerrada,['597-15-0862'],['MNT-14451'],-1,9177703,POCO URGENTE
15,Desgaste,2023-10-25,Cerrada,"['362-42-8620', '718-53-6721']","['MNT-04397', 'MNT-04960']",301,33139,URGENTE
16,Desgaste,2024-01-20,Abierta,['199-84-4323'],['MNT-00498'],-1,22078,POCO URGENTE
17,Vandalismo,2024-07-09,Abierta,"['095-45-4865', '707-18-9915', '799-14-3002']",['MNT-10246'],-1,8804645,MUY URGENTE
18,Mal funcionamiento,2024-02-06,Cerrada,['813-75-9847'],['MNT-11472'],82,3567985,POCO URGENTE
19,Desgaste,2024-02-11,Cerrada,"['474-19-4063', '458-07-3973', '990-13-7252']","['MNT-01733', 'MNT-11172']",18,33406,MUY URGENTE
20,Vandalismo,2024-05-01,Cerrada,['629-15-3222'],['MNT-10095'],161,58646,POCO URGENTE
21,Mal funcionamiento,2023-10-21,Abierta,"['282-52-9975', '384-61-9704']",['MNT-09042'],-1,7890631,URGENTE
22,Mal funcionamiento,2024-06-10,Cerrada,['096-22-0670'],['MNT-11353'],118,21413,POCO URGENTE
23,Rotura,2024-01-27,Abierta,"['604-91-2343', '406-56-3619', '307-27-1424']",['MNT-09042'],-1,7890631,MUY URGENTE
24,Mal funcionamiento,2024-09-28,Abierta,['948-96-6590'],"['MNT-03568', 'MNT-09550']",-1,20553,POCO URGENTE
25,Mal funcionamiento,2023-12-24,Abierta,['566-61-3591'],['MNT-03597'],-1,4989412,POCO URGENTE
26,Desgaste,2024-08-05,Cerrada,"['500-90-6672', '245-63-5707', '317-56-5131']",['MNT-00821'],-1,9179452,MUY URGENTE
27,Desgaste,2024-10-01,Cerrada,"['112-42-8189', '370-99-8984', '367-10-4674']",['MNT-06922'],-1,19323,MUY URGENTE
28,Mal funcionamiento,2023-10-28,Abierta,"['249-99-1099', '404-10-1370']",['MNT-06286'],-1,8821411,URGENTE
29,Vandalismo,2024-08-19,Abierta,"['508-98-5154', '378-11-4367', '378-11-4367']",['MNT-13953'],-1,5847924,MUY URGENTE
30,Vandalismo,2024-04-18,Cerrada,['972-87-4607'],['MNT-14904'],-1,6845966,POCO URGENTE
31,Desgaste,2024-09-30,Cerrada,"['223-42-0669', '449-74-0186', '398-59-2924']",['MNT-06337'],-1,7591510,MUY URGENTE
32,Desgaste,2024-04-30,Abierta,"['801-97-2555', '093-35-3953', '708-79-2896']","['MNT-09082', 'MNT-11531']",-1,9424486,MUY URGENTE
33,Mal funcionamiento,2024-02-03,Abierta,"['593-44-5401', '398-08-9022']",['MNT-04581'],-1,3963369,URGENTE
34,Mal funcionamiento,2024-03-19,Cerrada,"['911-89-5856', '280-56-6309']",['MNT-14143'],73,5659539,URGENTE
35,Vandalismo,2024-06-13,Cerrada,['395-06-9681'],"['MNT-00559', 'MNT-05565']",64,9427004,POCO URGENTE
36,Rotura,2024-06-05,Abierta,['797-83-0198'],['MNT-13540'],-1,7602194,POCO URGENTE
37,Desgaste,2024-03-27,Cerrada,['268-12-9651'],"['MNT-02841', 'MNT-08770']",187,22344,POCO URGENTE
38,Vandalismo,2024-08-28,Cerrada,"['506-12-3016', '724-54-6205']",['MNT-09589'],-1,9496469,URGENTE
39,Rotura,2024-05-30,Abierta,"['148-81-7465', '892-51-8894', '277-22-2474']","['MNT-04881', 'MNT-10453']",-1,7930232,MUY URGENTE
40,Vandalismo,2024-03-02,Abierta,['277-13-4981'],['MNT-04290'],-1,18871,POCO URGENTE
41,Mal funcionamiento,2024-02-07,Cerrada,['896-45-6813'],['MNT-08378'],202,9180742,POCO URGENTE
